PeakID (cmd=annotatePeaks.pl results/reproducible_peaks_filtered.bed hg38 -gtf results/gencode.v45.primary_assembly.annotation.gtf -go results/go_analysis)	Chr	Start	End	Strand	Peak Score	Focus Ratio/Region Size	Annotation	Detailed Annotation	Distance to TSS	Nearest PromoterID	Entrez ID	Nearest Unigene	Nearest Refseq	Nearest Ensembl	Gene Name	Gene Alias	Gene Description	Gene Type
rep3_peak_13377	chr2	57516908	57516908	+	16.6911	NA	Intergenic	Intergenic	-27627	ENST00000390866.1	ENSG00000212168	ENST00000390866			ENSG00000212168			snoRNA
rep3_peak_4685	chr11	17208023	17208023	+	16.6389	NA	promoter-TSS (ENST00000503729.2)	protein_coding-promoter-TSS (ENST00000503729.2)	-37	ENST00000691414.1	ENSG00000011405	ENST00000265970			PIK3C2A			protein_coding
rep3_peak_4451	chr11	560888	560888	+	16.3577	NA	promoter-TSS (ENST00000329451.8)	protein_coding-promoter-TSS (ENST00000329451.8)	-68	ENST00000397582.7	ENSG00000099849	ENST00000397582			RASSF7			protein_coding
rep3_peak_21520	chr5	94702911	94702911	+	16.1473	NA	TTS (ENST00000514040.1)	protein_coding-TTS (ENST00000514040.1)	7782	ENST00000509850.2	ENSG00000175471	ENST00000508509			MCTP1			protein_coding
rep3_peak_10444	chr16	84699913	84699913	+	16.1473	NA	promoter-TSS (ENST00000219473.12)	protein_coding-promoter-TSS (ENST00000219473.12)	-73	ENST00000562743.5	ENSG00000103194	ENST00000566378			USP10			protein_coding
rep3_peak_12195	chr19	11814201	11814201	+	16.1203	NA	promoter-TSS (ENST00000304060.10)	protein_coding-promoter-TSS (ENST00000304060.10)	-72	ENST00000304060.10	ENSG00000171295	ENST00000427505			ZNF440			protein_coding
rep3_peak_20102	chr4	139214296	139214296	+	15.6689	NA	intron (ENST00000693380.1, intron 1 of 3)	lncRNA-intron (ENST00000693380.1, intron 1 of 3)	13901	ENST00000384654.1	ENSG00000207384	ENST00000384654			Y_RNA			misc_RNA
rep3_peak_4914	chr11	42840704	42840704	+	15.6566	NA	Intergenic	Intergenic	-99071	ENST00000534066.1	ENSG00000254914	ENST00000534066			ENSG00000254914			processed_pseudogene
rep3_peak_13741	chr2	95539973	95539973	+	15.6087	NA	Intergenic	Intergenic	2004	ENST00000610252.1	ENSG00000273305	ENST00000610252			ENSG00000273305			lncRNA
rep3_peak_1901	chr1	176897932	176897932	+	15.2062	NA	intron (ENST00000424564.2, intron 16 of 21)	protein_coding-intron (ENST00000361833.7, intron 16 of 22)	-66091	ENST00000662545.1	ENSG00000286754	ENST00000662545			ENSG00000286754			lncRNA
rep3_peak_29945	chrX	129554078	129554078	+	15.0216	NA	exon (ENST00000689093.1, exon 3 of 7)	protein_coding-exon (ENST00000689093.1, exon 3 of 7)	-3783	ENST00000647245.1	ENSG00000122126	ENST00000646914			OCRL			protein_coding
rep3_peak_14181	chr2	147464346	147464346	+	14.8406	NA	Intergenic	Intergenic	7897	ENST00000384432.1	ENSG00000207161	ENST00000384432			Y_RNA			misc_RNA
rep3_peak_7769	chr13	64994012	64994012	+	14.7876	NA	Intergenic	Intergenic	-34616	ENST00000441282.1	ENSG00000214269	ENST00000441282			LGMNP1			processed_pseudogene
rep3_peak_25835	chr7	121385949	121385949	+	14.6042	NA	intron (ENST00000412653.5, intron 1 of 7)	protein_coding-intron (ENST00000359943.8, intron 1 of 9)	10359	ENST00000426156.1	ENSG00000196937	ENST00000497622			FAM3C			protein_coding
rep3_peak_26283	chr8	6840792	6840792	+	14.547	NA	promoter-TSS (ENST00000701456.1)	lncRNA-promoter-TSS (ENST00000701456.1)	-429	ENST00000701456.1	ENSG00000245857	ENST00000655804			GS1-24F4.2			lncRNA
rep3_peak_12078	chr19	4342885	4342885	+	14.3885	NA	promoter-TSS (ENST00000262966.12)	protein_coding-promoter-TSS (ENST00000262966.12)	-99	ENST00000599736.5	ENSG00000178078	ENST00000597593			STAP2			protein_coding
rep3_peak_3813	chr10	77683151	77683151	+	14.3087	NA	Intergenic	Intergenic	-44782	ENST00000372443.6	ENSG00000156113	ENST00000640029			KCNMA1			protein_coding
rep3_peak_28198	chr9	36136671	36136671	+	13.9117	NA	promoter-TSS (ENST00000377959.5)	protein_coding-promoter-TSS (ENST00000377959.5)	-62	ENST00000377960.9	ENSG00000122694	ENST00000619700			GLIPR2			protein_coding
rep3_peak_25121	chr7	48299803	48299803	+	13.841	NA	intron (ENST00000611776.4, intron 6 of 42)	protein_coding-intron (ENST00000435803.6, intron 23 of 61)	-13264	ENST00000484268.1	ENSG00000179869	ENST00000484268			ABCA13			protein_coding
rep3_peak_11558	chr18	34122891	34122891	+	13.4075	NA	intron (ENST00000591917.5, intron 2 of 4)	protein_coding-intron (ENST00000261592.10, intron 2 of 10)	33802	ENST00000588280.5	ENSG00000101746	ENST00000588355			NOL4			protein_coding
rep3_peak_15526	chr20	8132077	8132077	+	13.3774	NA	promoter-TSS (ENST00000338037.11)	protein_coding-promoter-TSS (ENST00000338037.11)	-61	ENST00000378641.7	ENSG00000182621	ENST00000637935			PLCB1			protein_coding
rep3_peak_9039	chr15	28096146	28096146	+	13.3599	NA	intron (ENST00000445578.5, intron 1 of 5)	protein_coding-intron (ENST00000353809.9, intron 1 of 22)	3147	ENST00000431101.1	ENSG00000104044	ENST00000445578			OCA2			protein_coding
rep3_peak_7069	chr12	103370064	103370064	+	13.324	NA	intron (ENST00000552977.5, intron 2 of 5)	protein_coding-intron (ENST00000378113.7, intron 3 of 5)	71527	ENST00000550650.5	ENSG00000179088	ENST00000552372			C12orf42			protein_coding
rep3_peak_26417	chr8	20224004	20224004	+	13.265	NA	intron (ENST00000521442.1, intron 1 of 3)	protein_coding-intron (ENST00000521442.1, intron 1 of 3)	-5775	ENST00000410335.1	ENSG00000222267	ENST00000410335			RNU6-892P			snRNA
rep3_peak_8161	chr13	108915849	108915849	+	13.2395	NA	intron (ENST00000457511.7, intron 16 of 34)	protein_coding-intron (ENST00000251041.10, intron 16 of 24)	60553	ENST00000482793.1	ENSG00000041515	ENST00000482793			MYO16			protein_coding
rep3_peak_5864	chr11	128859997	128859997	+	13.2097	NA	intron (ENST00000531562.1, intron 1 of 2)	protein_coding-intron (ENST00000392666.6, intron 1 of 2)	7299	ENST00000392666.6	ENSG00000151704	ENST00000392666			KCNJ1			protein_coding
rep3_peak_27112	chr8	85296624	85296624	+	12.9095	NA	Intergenic	Intergenic	40588	ENST00000523712.5	ENSG00000133742	ENST00000520990			CA1			protein_coding
rep3_peak_5563	chr11	104898088	104898088	+	12.7212	NA	intron (ENST00000703420.1, intron 1 of 6)	protein_coding-intron (ENST00000375726.6, intron 1 of 6)	326	ENST00000508062.1	ENSG00000204403	ENST00000613512			CASP12			protein_coding
rep3_peak_24600	chr7	1504475	1504475	+	12.0363	NA	promoter-TSS (ENST00000404767.8)	protein_coding-promoter-TSS (ENST00000404767.8)	-86	ENST00000404767.8	ENSG00000164880	ENST00000468115			INTS1			protein_coding
rep3_peak_27552	chr8	123541318	123541318	+	11.3041	NA	promoter-TSS (ENST00000443022.2)	protein_coding-promoter-TSS (ENST00000443022.2)	-112	ENST00000443022.2	ENSG00000156804	ENST00000443022			FBXO32			protein_coding
rep3_peak_4750	chr11	22781178	22781178	+	11.2686	NA	intron (ENST00000524701.5, intron 8 of 8)	protein_coding-intron (ENST00000278187.7, intron 7 of 7)	25530	ENST00000526665.1	ENSG00000148935	ENST00000534801			GAS2			protein_coding
rep3_peak_13132	chr2	32911139	32911139	+	11.2651	NA	intron (ENST00000435075.1, intron 3 of 3)	lncRNA-intron (ENST00000414054.5, intron 4 of 4)	-15946	ENST00000663506.1	ENSG00000236854	ENST00000440786			ENSG00000236854			lncRNA
rep3_peak_1318	chr1	110619542	110619542	+	11.2117	NA	intron (ENST00000674674.1, intron 1 of 1)	protein_coding-intron (ENST00000369770.7, intron 1 of 4)	1715	ENST00000674674.1	ENSG00000177301	ENST00000638532			KCNA2			protein_coding
rep3_peak_9405	chr15	74433999	74433999	+	11.1152	NA	promoter-TSS (ENST00000261918.9)	protein_coding-promoter-TSS (ENST00000261918.9)	-41	ENST00000261918.9	ENSG00000138623	ENST00000543145			SEMA7A			protein_coding
rep3_peak_12335	chr19	24033384	24033384	+	11.0564	NA	promoter-TSS (ENST00000594934.6)	lncRNA-promoter-TSS (ENST00000594934.6)	-17	ENST00000664647.1	ENSG00000268362	ENST00000653003			ENSG00000268362			lncRNA
rep3_peak_29487	chrX	48696656	48696656	+	10.7939	NA	promoter-TSS (ENST00000376687.4)	protein_coding-promoter-TSS (ENST00000376687.4)	-78	ENST00000376687.4	ENSG00000101945	ENST00000482260			SUV39H1			protein_coding
rep3_peak_14397	chr2	163417839	163417839	+	10.4815	NA	Intergenic	Intergenic	128844	ENST00000364032.1	ENSG00000200902	ENST00000364032			RNU6-627P			snRNA
rep3_peak_24435	chr6	158649740	158649740	+	10.449	NA	promoter-TSS (ENST00000360448.8)	protein_coding-promoter-TSS (ENST00000360448.8)	-274	ENST00000360448.8	ENSG00000164674	ENST00000611299			SYTL3			protein_coding
rep3_peak_14129	chr2	142877617	142877617	+	10.3351	NA	promoter-TSS (ENST00000264170.9)	protein_coding-promoter-TSS (ENST00000264170.9)	-40	ENST00000375773.6	ENSG00000115919	ENST00000409512			KYNU			protein_coding
rep3_peak_11573	chr18	35029934	35029934	+	10.3268	NA	intron (ENST00000591734.5, intron 2 of 5)	protein_coding-intron (ENST00000413393.5, intron 2 of 7)	-11470	ENST00000538170.6	ENSG00000166974	ENST00000591734			MAPRE2			protein_coding
rep3_peak_22234	chr5	150477502	150477502	+	10.2566	NA	intron (ENST00000519040.1, intron 2 of 2)	lncRNA-intron (ENST00000519040.1, intron 2 of 2)	-8316	ENST00000522491.1	ENSG00000070614	ENST00000519157			NDST1			protein_coding
rep3_peak_11300	chr17	81911634	81911634	+	9.90846	NA	promoter-TSS (ENST00000331285.7)	protein_coding-promoter-TSS (ENST00000331285.7)	-202	ENST00000572473.1	ENSG00000185813	ENST00000576343			PCYT2			protein_coding
rep3_peak_85	KI270712.1	58232	58232	+	9.82972	NA	NA	NA	NA	NA								
rep3_peak_19715	chr4	101103766	101103766	+	9.7402	NA	intron (ENST00000529324.5, intron 3 of 4)	protein_coding-intron (ENST00000323055.10, intron 3 of 11)	54553	ENST00000510292.1	ENSG00000138814	ENST00000507176			PPP3CA			protein_coding
rep3_peak_4795	chr11	27754550	27754550	+	9.63622	NA	intron (ENST00000530663.1, intron 1 of 1)	lncRNA-intron (ENST00000530663.1, intron 1 of 1)	-32492	ENST00000314915.6	ENSG00000176697	ENST00000356660			BDNF			protein_coding
rep3_peak_13149	chr2	34096750	34096750	+	9.57585	NA	intron (ENST00000366209.6, intron 4 of 5)	lncRNA-intron (ENST00000366209.6, intron 4 of 5)	29524	ENST00000423593.1	ENSG00000237790	ENST00000423593			LINC01318			lncRNA
rep3_peak_15993	chr20	54018127	54018127	+	9.54463	NA	intron (ENST00000688948.1, intron 4 of 12)	protein_coding-intron (ENST00000371435.6, intron 4 of 9)	10573	ENST00000448484.5	ENSG00000064787	ENST00000690125			BCAS1			protein_coding
rep3_peak_13310	chr2	48946695	48946695	+	9.49547	NA	intron (ENST00000634588.1, intron 2 of 4)	lncRNA-intron (ENST00000634588.1, intron 2 of 4)	-30165	ENST00000454986.1	ENSG00000214602	ENST00000454986			CTBP2P5			processed_pseudogene
rep3_peak_6874	chr12	89461920	89461920	+	9.3962	NA	promoter-TSS (ENST00000546740.5)	protein_coding-promoter-TSS (ENST00000546740.5)	-78	ENST00000546740.5	ENSG00000139323	ENST00000539190			POC1B			protein_coding
rep3_peak_10872	chr17	36601567	36601567	+	9.30441	NA	promoter-TSS (ENST00000612760.1)	protein_coding-promoter-TSS (ENST00000612760.1)	-16	ENST00000614766.5	ENSG00000278619	ENST00000612760			MRM1			protein_coding
rep3_peak_9981	chr16	27426695	27426695	+	9.25901	NA	promoter-TSS (ENST00000395754.4)	protein_coding-promoter-TSS (ENST00000395754.4)	-549	ENST00000395754.4	ENSG00000103522	ENST00000337929			IL21R			protein_coding
rep3_peak_24917	chr7	29289865	29289865	+	9.18187	NA	intron (ENST00000409922.5, intron 1 of 5)	protein_coding-intron (ENST00000222792.11, intron 1 of 12)	984	ENST00000409922.5	ENSG00000106069	ENST00000409041			CHN2			protein_coding
rep3_peak_16876	chr3	20256200	20256200	+	9.05324	NA	intron (ENST00000634618.1, intron 4 of 16)	lncRNA-intron (ENST00000634618.1, intron 4 of 16)	12870	ENST00000362707.1	ENSG00000199577	ENST00000362707			RNU6-822P			snRNA
rep3_peak_4592	chr11	10317934	10317934	+	9.05124	NA	intron (ENST00000532250.5, intron 1 of 3)	protein_coding-intron (ENST00000527261.5, intron 1 of 2)	263	ENST00000532250.5	ENSG00000133805	ENST00000530864			AMPD3			protein_coding
rep3_peak_11662	chr18	45827874	45827874	+	8.96848	NA	intron (ENST00000389474.8, intron 1 of 5)	protein_coding-intron (ENST00000389474.8, intron 1 of 5)	-1214	ENST00000602118.6	ENSG00000197046	ENST00000546268			SIGLEC15			protein_coding
rep3_peak_18336	chr3	161694904	161694904	+	8.84626	NA	intron (ENST00000665274.1, intron 1 of 1)	lncRNA-intron (ENST00000665274.1, intron 1 of 1)	94466	ENST00000665274.1	ENSG00000288087	ENST00000665274			ENSG00000288087			lncRNA
rep3_peak_26581	chr8	38382320	38382320	+	8.80665	NA	promoter-TSS (ENST00000316985.7)	protein_coding-promoter-TSS (ENST00000316985.7)	-44	ENST00000607047.1	ENSG00000272092	ENST00000607047			ENSG00000272092			lncRNA
rep3_peak_8013	chr13	95404438	95404438	+	8.43098	NA	Intergenic	Intergenic	10389	ENST00000604810.1	ENSG00000271492	ENST00000604810			MEMO1P5			processed_pseudogene
rep3_peak_14454	chr2	168594969	168594969	+	8.15754	NA	intron (ENST00000392687.4, intron 3 of 10)	protein_coding-intron (ENST00000305747.11, intron 3 of 9)	11527	ENST00000362478.1	ENSG00000199348	ENST00000362478			RNU6-766P			snRNA
rep3_peak_28197	chr9	36036898	36036898	+	8.14312	NA	promoter-TSS (ENST00000377966.4)	protein_coding-promoter-TSS (ENST00000377966.4)	-15	ENST00000377966.4	ENSG00000122707	ENST00000479053			RECK			protein_coding
rep3_peak_11455	chr18	21685648	21685648	+	7.98234	NA	intron (ENST00000584464.1, intron 2 of 3)	protein_coding-intron (ENST00000289119.7, intron 3 of 8)	2138	ENST00000408566.1	ENSG00000221493	ENST00000408566			MIR320C1			miRNA
rep3_peak_6256	chr12	29545176	29545176	+	7.80376	NA	intron (ENST00000553189.5, intron 12 of 12)	protein_coding-intron (ENST00000256062.9, intron 10 of 17)	25445	ENST00000549070.1	ENSG00000257456	ENST00000549070			ENSG00000257456			lncRNA
rep3_peak_11347	chr18	2972298	2972298	+	7.40659	NA	TTS (ENST00000581568.1)	protein_coding-TTS (ENST00000581568.1)	-4148	ENST00000697043.1	ENSG00000101577	ENST00000261596			LPIN2			protein_coding
rep3_peak_2940	chr10	3239778	3239778	+	7.26769	NA	exon (ENST00000417149.2, exon 5 of 7)	lncRNA-exon (ENST00000417149.2, exon 5 of 7)	15962	ENST00000445932.1	ENSG00000236968	ENST00000445932			ENSG00000236968			lncRNA
rep3_peak_24517	chr6	166286932	166286932	+	7.25178	NA	Intergenic	Intergenic	-9804	ENST00000689657.1	ENSG00000280850	ENST00000689657			ENSG00000280850			lncRNA
rep3_peak_3227	chr10	26551309	26551309	+	6.96842	NA	intron (ENST00000376236.9, intron 11 of 14)	protein_coding-intron (ENST00000376236.9, intron 11 of 14)	-10634	ENST00000493857.1	ENSG00000077420	ENST00000493857			APBB1IP			protein_coding
rep3_peak_11069	chr17	58344479	58344479	+	6.92817	NA	TTS (ENST00000225504.8)	protein_coding-TTS (ENST00000225504.8)	3132	ENST00000581204.1	ENSG00000213246	ENST00000577396			SUPT4H1			protein_coding
rep3_peak_3620	chr10	59905171	59905171	+	6.54743	NA	intron (ENST00000263102.7, intron 1 of 8)	protein_coding-intron (ENST00000263102.7, intron 1 of 8)	1385	ENST00000263102.7	ENSG00000108091	ENST00000518638			CCDC6			protein_coding
rep3_peak_24168	chr6	139135980	139135980	+	6.52117	NA	intron (ENST00000367658.3, intron 1 of 3)	protein_coding-intron (ENST00000367658.3, intron 1 of 3)	900	ENST00000367658.3	ENSG00000112406	ENST00000367658			HECA			protein_coding
rep3_peak_9067	chr15	31392428	31392428	+	6.5084	NA	promoter-TSS (ENST00000500533.3)	protein_coding-promoter-TSS (ENST00000500533.3)	-415	ENST00000500533.3	ENSG00000169926	ENST00000560473			KLF13			protein_coding
rep3_peak_6627	chr12	65279077	65279077	+	5.85651	NA	promoter-TSS (ENST00000535239.5)	protein_coding-promoter-TSS (ENST00000535239.5)	-15	ENST00000646299.1	ENSG00000174099	ENST00000642411			MSRB3			protein_coding
rep3_peak_21256	chr5	67221908	67221908	+	4.80284	NA	Intergenic	Intergenic	-25109	ENST00000256447.5	ENSG00000134061	ENST00000256447			CD180			protein_coding
rep3_peak_5320	chr11	83007149	83007149	+	4.60705	NA	intron (ENST00000534141.5, intron 1 of 4)	protein_coding-intron (ENST00000260056.6, intron 1 of 4)	-9671	ENST00000534301.5	ENSG00000137502	ENST00000534103			RAB30			protein_coding
rep3_peak_25025	chr7	39304873	39304873	+	4.35398	NA	intron (ENST00000674059.1, intron 5 of 10)	protein_coding-intron (ENST00000403058.6, intron 5 of 10)	24261	ENST00000384220.1	ENSG00000206947	ENST00000384220			SNORA20B			snoRNA
rep3_peak_23050	chr6	31204111	31204111	+	3.65061	NA	TTS (ENST00000383331.4)	lncRNA-TTS (ENST00000383331.4)	2098	ENST00000415276.2	ENSG00000206344	ENST00000638546			HCG27			lncRNA
